t,x,y,z,accuracy
1487862072.612,19.81048583984375,-25.93841552734375,-26.8096923828125,3.0
1487862072.629,19.73876953125,-26.29241943359375,-27.14996337890625,3.0
1487862072.645,19.64111328125,-26.7852783203125,-27.6275634765625,3.0
1487862072.662,19.09637451171875,-24.70245361328125,-28.79180908203125,3.0
1487862072.6790001,18.80035400390625,-23.56719970703125,-29.42657470703125,3.0
1487862072.696,16.7327880859375,-21.78497314453125,-32.00836181640625,3.0
1487862072.713,16.41693115234375,-21.56524658203125,-32.39593505859375,3.0
1487862072.729,15.7745361328125,-22.2137451171875,-33.0230712890625,3.0
1487862072.746,15.6829833984375,-22.30682373046875,-32.57904052734375,3.0
1487862072.763,15.43731689453125,-22.552490234375,-31.3873291015625,3.0
1487862072.78,16.27960205078125,-24.92828369140625,-30.07659912109375,3.0
1487862072.796,17.11883544921875,-27.29339599609375,-28.77197265625,3.0
1487862072.813,17.364501953125,-28.28369140625,-27.57720947265625,3.0
1487862072.83,17.4560546875,-28.64837646484375,-27.13775634765625,3.0
1487862072.8470001,15.8416748046875,-31.2469482421875,-25.567626953125,3.0
1487862072.864,15.91796875,-31.21337890625,-25.32196044921875,3.0
1487862072.88,16.95098876953125,-30.17120361328125,-24.03106689453125,3.0
1487862072.897,17.12799072265625,-30.7098388671875,-23.85711669921875,3.0
1487862072.914,17.4560546875,-31.695556640625,-23.541259765625,3.0
1487862072.931,17.55218505859375,-30.22003173828125,-24.01580810546875,3.0
1487862072.948,17.6239013671875,-29.156494140625,-24.35760498046875,3.0
1487862072.964,17.75970458984375,-29.0191650390625,-25.0213623046875,3.0
1487862072.981,17.791748046875,-28.98712158203125,-25.17547607421875,3.0
1487862072.9980001,16.61529541015625,-29.156494140625,-25.3387451171875,3.0
1487862073.015,16.85333251953125,-29.26025390625,-25.30517578125,3.0
1487862073.0310001,17.791748046875,-29.66461181640625,-25.17547607421875,3.0
1487862073.048,17.57354736328125,-29.88433837890625,-24.82147216796875,3.0
1487862073.065,17.2882080078125,-30.17120361328125,-24.35760498046875,3.0
1487862073.082,16.50848388671875,-30.95550537109375,-25.11444091796875,3.0
1487862073.099,16.1102294921875,-31.3568115234375,-25.50201416015625,3.0
1487862073.115,17.00897216796875,-31.3568115234375,-25.50201416015625,3.0
1487862073.132,17.0135498046875,-31.34765625,-25.52947998046875,3.0
1487862073.149,15.26947021484375,-31.18743896484375,-25.99334716796875,3.0
1487862073.1660001,15.0299072265625,-30.3680419921875,-25.66680908203125,3.0
1487862073.182,14.4287109375,-28.30963134765625,-24.84893798828125,3.0
